age_grp,Count,Notes,Rate
5-9,20.0,,4.82
5-9,21.0,,5.11
5-9,237.0,,4.05
5-9,40.0,,1.6
5-9,33.0,,1.41
5-9,29.0,,1.32
5-9,34.0,,1.66
5-9,37.0,,1.89
5-9,17.0,*,0.9
5-9,22.0,,1.2
5-9,18.0,*,1.0
5-9,40.0,,2.27
5-9,17.0,*,0.98
5-9,30.0,,1.72
5-9,22.0,,1.24
5-9,22.0,,1.22
5-9,25.0,,1.37
5-9,31.0,,1.72
5-9,40.0,,1.6
5-9,33.0,,1.41
5-9,29.0,,1.32
5-9,34.0,,1.66
5-9,37.0,,1.89
5-9,17.0,*,0.9
5-9,22.0,,1.2
5-9,18.0,*,1.0
5-9,40.0,,2.27
5-9,17.0,*,0.98
5-9,30.0,,1.72
5-9,22.0,,1.24
5-9,22.0,,1.22
5-9,25.0,,1.37
5-9,31.0,,1.72
5-9,417.0,,1.44
5-9,73.0,,1.04
5-9,66.0,,0.96
5-9,87.0,,1.3
5-9,80.0,,1.22
5-9,76.0,,1.18
5-9,78.0,,1.22
5-9,50.0,,0.79
5-9,63.0,,1.0
5-9,67.0,,1.07
5-9,58.0,,0.92
5-9,63.0,,1.01
5-9,72.0,,1.16
5-9,74.0,,1.2
5-9,68.0,,1.12
5-9,88.0,,1.46
5-9,73.0,,1.04
5-9,66.0,,0.96
5-9,87.0,,1.3
5-9,80.0,,1.22
5-9,76.0,,1.18
5-9,78.0,,1.22
5-9,50.0,,0.79
5-9,63.0,,1.0
5-9,67.0,,1.07
5-9,58.0,,0.92
5-9,63.0,,1.01
5-9,72.0,,1.16
5-9,74.0,,1.2
5-9,68.0,,1.12
5-9,88.0,,1.46
5-9,1063.0,,1.11
5-9,29.0,,1.64
5-9,9.0,*,4.87
5-9,12.0,*,6.6
5-9,7.0,*,3.88
5-9,11.0,*,5.95
5-9,14.0,*,7.59
5-9,10.0,*,5.27
5-9,8.0,*,4.22
5-9,9.0,*,4.74
5-9,7.0,*,3.75
5-9,7.0,*,3.71
5-9,5.0,*,2.68
5-9,10.0,*,5.3
5-9,7.0,*,3.7
5-9,6.0,*,3.15
5-9,6.0,*,3.29
5-9,9.0,*,4.87
5-9,12.0,*,6.6
5-9,7.0,*,3.88
5-9,11.0,*,5.95
5-9,14.0,*,7.59
5-9,10.0,*,5.27
5-9,8.0,*,4.22
5-9,9.0,*,4.74
5-9,7.0,*,3.75
5-9,7.0,*,3.71
5-9,5.0,*,2.68
5-9,10.0,*,5.3
5-9,7.0,*,3.7
5-9,6.0,*,3.15
5-9,6.0,*,3.29
5-9,128.0,,4.58
5-9,45.0,,1.87
5-9,15.0,*,2.23
5-9,96.0,,2.26
5-9,83.0,,3.77
5-9,72.0,,3.42
5-9,65.0,,2.05
5-9,160.0,,6.59
5-9,28.0,,2.5
5-9,51.0,,1.25
5-9,39.0,,1.98
5-9,687.0,,1.76
5-9,732.0,,1.9
5-9,685.0,,1.8
5-9,834.0,,2.21
5-9,722.0,,1.91
5-9,644.0,,1.69
5-9,617.0,,1.6
5-9,659.0,,1.71
5-9,778.0,,2.0
5-9,700.0,,1.79
5-9,738.0,,1.89
5-9,716.0,,1.83
5-9,758.0,,1.93
5-9,742.0,,1.9
5-9,813.0,,2.1
5-9,687.0,,1.76
5-9,732.0,,1.9
5-9,685.0,,1.8
5-9,834.0,,2.21
5-9,722.0,,1.91
5-9,644.0,,1.69
5-9,617.0,,1.6
5-9,659.0,,1.71
5-9,778.0,,2.0
5-9,700.0,,1.79
5-9,738.0,,1.89
5-9,716.0,,1.83
5-9,758.0,,1.93
5-9,742.0,,1.9
5-9,813.0,,2.1
5-9,10825.0,,1.87
5-9,687.0,,1.76
5-9,732.0,,1.9
5-9,685.0,,1.8
5-9,834.0,,2.21
5-9,723.0,,1.91
5-9,644.0,,1.69
5-9,617.0,,1.6
5-9,659.0,,1.71
5-9,779.0,,2.01
5-9,700.0,,1.79
5-9,738.0,,1.89
5-9,716.0,,1.83
5-9,758.0,,1.93
5-9,743.0,,1.91
5-9,813.0,,2.1
5-9,687.0,,1.76
5-9,732.0,,1.9
5-9,685.0,,1.8
5-9,834.0,,2.21
5-9,723.0,,1.91
5-9,644.0,,1.69
5-9,617.0,,1.6
5-9,659.0,,1.71
5-9,779.0,,2.01
5-9,700.0,,1.79
5-9,738.0,,1.89
5-9,716.0,,1.83
5-9,758.0,,1.93
5-9,743.0,,1.91
5-9,813.0,,2.1
5-9,10828.0,,1.87
10-14,47.0,,2.38
10-14,16.0,*,0.84
10-14,20.0,,3.62
10-14,67.0,,2.54
10-14,6.0,*,2.36
10-14,7.0,*,2.71
10-14,5.0,*,1.87
10-14,13.0,*,4.87
10-14,7.0,*,2.59
10-14,14.0,*,5.18
10-14,9.0,*,3.36
10-14,12.0,*,4.54
10-14,5.0,*,1.94
10-14,6.0,*,2.38
10-14,8.0,*,3.35
10-14,11.0,*,4.69
10-14,9.0,*,3.86
10-14,7.0,*,3.08
10-14,14.0,*,6.22
10-14,6.0,*,2.36
10-14,7.0,*,2.71
10-14,5.0,*,1.87
10-14,13.0,*,4.87
10-14,7.0,*,2.59
10-14,14.0,*,5.18
10-14,9.0,*,3.36
10-14,12.0,*,4.54
10-14,5.0,*,1.94
10-14,6.0,*,2.38
10-14,8.0,*,3.35
10-14,11.0,*,4.69
10-14,9.0,*,3.86
10-14,7.0,*,3.08
10-14,14.0,*,6.22
10-14,133.0,,3.51
10-14,53.0,,3.65
10-14,77.0,,4.14
10-14,24.0,,1.5
10-14,34.0,,2.55
10-14,16.0,*,1.81
10-14,7.0,*,0.79
10-14,9.0,*,1.01
10-14,9.0,*,1.02
10-14,12.0,*,1.38
10-14,15.0,*,1.71
10-14,14.0,*,1.58
10-14,14.0,*,1.58
10-14,16.0,*,1.8
10-14,7.0,*,0.77
10-14,12.0,*,1.29
10-14,7.0,*,0.75
10-14,15.0,*,1.6
10-14,12.0,*,1.27
10-14,11.0,*,1.15
10-14,16.0,*,1.81
10-14,7.0,*,0.79
10-14,9.0,*,1.01
10-14,9.0,*,1.02
10-14,12.0,*,1.38
10-14,15.0,*,1.71
10-14,14.0,*,1.58
10-14,14.0,*,1.58
10-14,16.0,*,1.8
10-14,7.0,*,0.77
10-14,12.0,*,1.29
10-14,7.0,*,0.75
10-14,15.0,*,1.6
10-14,12.0,*,1.27
10-14,11.0,*,1.15
10-14,176.0,,1.3
10-14,19.0,*,3.16
10-14,21.0,,3.53
10-14,14.0,*,2.34
10-14,10.0,*,1.71
10-14,26.0,,4.49
10-14,10.0,*,1.77
10-14,9.0,*,1.59
10-14,12.0,*,2.15
10-14,6.0,*,1.08
10-14,12.0,*,2.17
10-14,13.0,*,2.36
10-14,21.0,,3.83
10-14,19.0,*,3.45
10-14,11.0,*,2.03
10-14,15.0,*,2.79
10-14,19.0,*,3.16
10-14,21.0,,3.53
10-14,14.0,*,2.34
10-14,10.0,*,1.71
10-14,26.0,,4.49
10-14,10.0,*,1.77
10-14,9.0,*,1.59
10-14,12.0,*,2.15
10-14,6.0,*,1.08
10-14,12.0,*,2.17
10-14,13.0,*,2.36
10-14,21.0,,3.83
10-14,19.0,*,3.45
10-14,11.0,*,2.03
10-14,15.0,*,2.79
10-14,218.0,,2.57
10-14,149.0,,3.66
10-14,24.0,,2.25
10-14,113.0,,2.6
10-14,95.0,,2.69
10-14,150.0,,2.16
10-14,28.0,,2.76
10-14,16.0,*,2.47
10-14,12.0,*,1.72
10-14,17.0,*,2.37
10-14,11.0,*,1.54
10-14,14.0,*,1.92
10-14,19.0,*,2.57
10-14,14.0,*,1.9
10-14,9.0,*,1.19
10-14,15.0,*,1.96
10-14,12.0,*,1.55
10-14,14.0,*,1.81
10-14,11.0,*,1.42
10-14,19.0,*,2.46
10-14,11.0,*,1.44
10-14,14.0,*,1.85
10-14,18.0,*,2.43
10-14,12.0,*,1.72
10-14,17.0,*,2.37
10-14,11.0,*,1.54
10-14,14.0,*,1.92
10-14,19.0,*,2.57
10-14,14.0,*,1.9
10-14,9.0,*,1.19
10-14,15.0,*,1.96
10-14,12.0,*,1.55
10-14,14.0,*,1.81
10-14,11.0,*,1.42
10-14,19.0,*,2.46
10-14,11.0,*,1.44
10-14,14.0,*,1.85
10-14,18.0,*,2.43
10-14,210.0,,1.87
10-14,45.0,,3.0
10-14,11.0,*,1.44
10-14,66.0,,0.79
10-14,6.0,*,0.82
10-14,31.0,,2.32
10-14,31.0,,2.27
10-14,29.0,,2.07
10-14,28.0,,1.97
10-14,26.0,,1.84
10-14,27.0,,1.85
10-14,23.0,,1.56
10-14,23.0,,1.54
10-14,23.0,,1.51
10-14,23.0,,1.48
10-14,35.0,,2.21
10-14,21.0,,1.31
10-14,53.0,,3.25
10-14,34.0,,2.04
10-14,57.0,,3.42
10-14,31.0,,2.32
10-14,31.0,,2.27
10-14,29.0,,2.07
10-14,28.0,,1.97
10-14,26.0,,1.84
10-14,27.0,,1.85
10-14,23.0,,1.56
10-14,23.0,,1.54
10-14,23.0,,1.51
10-14,23.0,,1.48
10-14,35.0,,2.21
10-14,21.0,,1.31
10-14,53.0,,3.25
10-14,34.0,,2.04
10-14,57.0,,3.42
10-14,464.0,,2.06
10-14,53.0,,2.4
10-14,148.0,,2.01
10-14,45.0,,2.66
10-14,74.0,,2.88
10-14,14.0,*,1.68
10-14,32.0,,1.77
10-14,26.0,,2.81
10-14,16.0,*,1.59
10-14,79.0,,4.9
10-14,13.0,*,0.95
10-14,14.0,*,5.73
10-14,8.0,*,3.23
10-14,11.0,*,4.46
10-14,8.0,*,3.34
10-14,11.0,*,4.59
10-14,12.0,*,5.1
10-14,5.0,*,2.19
10-14,8.0,*,3.49
10-14,14.0,*,6.02
10-14,8.0,*,3.46
10-14,7.0,*,2.97
10-14,10.0,*,4.33
10-14,12.0,*,5.16
10-14,11.0,*,4.87
10-14,15.0,*,7.06
10-14,14.0,*,5.73
10-14,8.0,*,3.23
10-14,11.0,*,4.46
10-14,8.0,*,3.34
10-14,11.0,*,4.59
10-14,12.0,*,5.1
10-14,5.0,*,2.19
10-14,8.0,*,3.49
10-14,14.0,*,6.02
10-14,8.0,*,3.46
10-14,7.0,*,2.97
10-14,10.0,*,4.33
10-14,12.0,*,5.16
10-14,11.0,*,4.87
10-14,15.0,*,7.06
10-14,154.0,,4.39
10-14,15.0,*,1.98
10-14,23.0,,3.03
10-14,10.0,*,1.32
10-14,11.0,*,1.45
10-14,9.0,*,1.21
10-14,16.0,*,2.15
10-14,19.0,*,2.6
10-14,16.0,*,2.2
10-14,12.0,*,1.65
10-14,28.0,,3.86
10-14,21.0,,2.93
10-14,17.0,*,2.41
10-14,18.0,*,2.57
10-14,16.0,*,2.3
10-14,20.0,,2.93
10-14,15.0,*,1.98
10-14,23.0,,3.03
10-14,10.0,*,1.32
10-14,11.0,*,1.45
10-14,9.0,*,1.21
10-14,16.0,*,2.15
10-14,19.0,*,2.6
10-14,16.0,*,2.2
10-14,12.0,*,1.65
10-14,28.0,,3.86
10-14,21.0,,2.93
10-14,17.0,*,2.41
10-14,18.0,*,2.57
10-14,16.0,*,2.3
10-14,20.0,,2.93
10-14,251.0,,2.3
10-14,28.0,,1.81
10-14,18.0,*,2.48
10-14,27.0,,1.81
10-14,33.0,,2.2
10-14,30.0,,1.97
10-14,39.0,,2.56
10-14,29.0,,1.9
10-14,19.0,*,1.23
10-14,33.0,,2.14
10-14,42.0,,2.72
10-14,43.0,,2.76
10-14,36.0,,2.31
10-14,29.0,,1.86
10-14,22.0,,1.4
10-14,16.0,*,1.0
10-14,24.0,,1.49
10-14,32.0,,1.97
10-14,27.0,,1.81
10-14,33.0,,2.2
10-14,30.0,,1.97
10-14,39.0,,2.56
10-14,29.0,,1.9
10-14,19.0,*,1.23
10-14,33.0,,2.14
10-14,42.0,,2.72
10-14,43.0,,2.76
10-14,36.0,,2.31
10-14,29.0,,1.86
10-14,22.0,,1.4
10-14,16.0,*,1.0
10-14,24.0,,1.49
10-14,32.0,,1.97
10-14,454.0,,1.95
10-14,23.0,,2.3
10-14,21.0,,2.38
10-14,50.0,,2.29
10-14,13.0,*,1.72
10-14,17.0,*,1.75
10-14,124.0,,2.98
10-14,34.0,,3.19
10-14,117.0,,2.41
10-14,134.0,,2.74
10-14,123.0,,2.53
10-14,111.0,,2.32
10-14,88.0,,1.9
10-14,80.0,,1.76
10-14,79.0,,1.77
10-14,79.0,,1.79
10-14,69.0,,1.56
10-14,84.0,,1.88
10-14,87.0,,1.93
10-14,70.0,,1.56
10-14,92.0,,2.05
10-14,108.0,,2.41
10-14,134.0,,2.97
10-14,117.0,,2.41
10-14,134.0,,2.74
10-14,123.0,,2.53
10-14,111.0,,2.32
10-14,88.0,,1.9
10-14,80.0,,1.76
10-14,79.0,,1.77
10-14,79.0,,1.79
10-14,69.0,,1.56
10-14,84.0,,1.88
10-14,87.0,,1.93
10-14,70.0,,1.56
10-14,92.0,,2.05
10-14,108.0,,2.41
10-14,134.0,,2.97
10-14,1455.0,,2.12
10-14,20.0,,2.65
10-14,34.0,,4.43
10-14,27.0,,3.5
10-14,28.0,,3.57
10-14,33.0,,4.23
10-14,24.0,,3.08
10-14,19.0,*,2.45
10-14,24.0,,3.05
10-14,23.0,,2.94
10-14,25.0,,3.14
10-14,30.0,,3.65
10-14,28.0,,3.47
10-14,33.0,,4.04
10-14,15.0,*,1.81
10-14,19.0,*,2.26
10-14,20.0,,2.65
10-14,34.0,,4.43
10-14,27.0,,3.5
10-14,28.0,,3.57
10-14,33.0,,4.23
10-14,24.0,,3.08
10-14,19.0,*,2.45
10-14,24.0,,3.05
10-14,23.0,,2.94
10-14,25.0,,3.14
10-14,30.0,,3.65
10-14,28.0,,3.47
10-14,33.0,,4.04
10-14,15.0,*,1.81
10-14,19.0,*,2.26
10-14,382.0,,3.21
10-14,23.0,,1.41
10-14,39.0,,2.38
10-14,28.0,,1.7
10-14,31.0,,1.91
10-14,23.0,,1.45
10-14,16.0,*,1.02
10-14,20.0,,1.28
10-14,17.0,*,1.1
10-14,31.0,,2.01
10-14,29.0,,1.88
10-14,25.0,,1.62
10-14,27.0,,1.76
10-14,20.0,,1.31
10-14,16.0,*,1.05
10-14,28.0,,1.85
10-14,23.0,,1.41
10-14,39.0,,2.38
10-14,28.0,,1.7
10-14,31.0,,1.91
10-14,23.0,,1.45
10-14,16.0,*,1.02
10-14,20.0,,1.28
10-14,17.0,*,1.1
10-14,31.0,,2.01
10-14,29.0,,1.88
10-14,25.0,,1.62
10-14,27.0,,1.76
10-14,20.0,,1.31
10-14,16.0,*,1.05
10-14,28.0,,1.85
10-14,373.0,,1.59
10-14,69.0,,1.41
10-14,8.0,*,1.81
10-14,176.0,,4.69
10-14,83.0,,2.3
10-14,7.0,*,2.49
10-14,6.0,*,2.08
10-14,5.0,*,1.72
10-14,15.0,*,5.07
10-14,8.0,*,2.72
10-14,6.0,*,2.01
10-14,6.0,*,2.01
10-14,10.0,*,3.4
10-14,14.0,*,4.75
10-14,5.0,*,1.7
10-14,9.0,*,3.01
10-14,6.0,*,2.02
10-14,5.0,*,1.75
10-14,6.0,*,2.11
10-14,8.0,*,2.87
10-14,7.0,*,2.49
10-14,6.0,*,2.08
10-14,5.0,*,1.72
10-14,15.0,*,5.07
10-14,8.0,*,2.72
10-14,6.0,*,2.01
10-14,6.0,*,2.01
10-14,10.0,*,3.4
10-14,14.0,*,4.75
10-14,5.0,*,1.7
10-14,9.0,*,3.01
10-14,6.0,*,2.02
10-14,5.0,*,1.75
10-14,6.0,*,2.11
10-14,8.0,*,2.87
10-14,116.0,,2.65
10-14,160.0,,2.63
10-14,34.0,,2.48
10-14,28.0,,2.04
10-14,33.0,,2.05
10-14,57.0,,4.5
10-14,15.0,*,1.61
10-14,51.0,,1.75
10-14,56.0,,2.05
10-14,73.0,,2.75
10-14,34.0,,2.58
10-14,30.0,,1.78
10-14,14.0,*,1.5
10-14,15.0,*,1.21
10-14,44.0,,2.22
10-14,42.0,,2.12
10-14,10.0,*,2.51
10-14,13.0,*,3.25
10-14,11.0,*,2.69
10-14,13.0,*,3.15
10-14,13.0,*,3.11
10-14,10.0,*,2.35
10-14,14.0,*,3.24
10-14,10.0,*,2.35
10-14,11.0,*,2.55
10-14,10.0,*,2.33
10-14,13.0,*,3.03
10-14,7.0,*,1.63
10-14,10.0,*,2.37
10-14,10.0,*,2.45
10-14,12.0,*,2.97
10-14,10.0,*,2.51
10-14,13.0,*,3.25
10-14,11.0,*,2.69
10-14,13.0,*,3.15
10-14,13.0,*,3.11
10-14,10.0,*,2.35
10-14,14.0,*,3.24
10-14,10.0,*,2.35
10-14,11.0,*,2.55
10-14,10.0,*,2.33
10-14,13.0,*,3.03
10-14,7.0,*,1.63
10-14,10.0,*,2.37
10-14,10.0,*,2.45
10-14,12.0,*,2.97
10-14,167.0,,2.66
10-14,15.0,*,0.9
10-14,26.0,,2.43
10-14,19.0,*,1.28
10-14,18.0,*,2.11
10-14,66.0,,2.94
10-14,51.0,,2.57
10-14,102.0,,2.31
10-14,121.0,,2.98
10-14,65.0,,3.57
10-14,10.0,*,1.79
10-14,12.0,*,2.07
10-14,16.0,*,2.73
10-14,10.0,*,1.65
10-14,11.0,*,1.83
10-14,9.0,*,1.5
10-14,6.0,*,0.98
10-14,9.0,*,1.43
10-14,8.0,*,1.26
10-14,5.0,*,0.79
10-14,8.0,*,1.25
10-14,6.0,*,0.93
10-14,11.0,*,1.68
10-14,16.0,*,2.41
10-14,11.0,*,1.64
10-14,10.0,*,1.79
10-14,12.0,*,2.07
10-14,16.0,*,2.73
10-14,10.0,*,1.65
10-14,11.0,*,1.83
10-14,9.0,*,1.5
10-14,6.0,*,0.98
10-14,9.0,*,1.43
10-14,8.0,*,1.26
10-14,5.0,*,0.79
10-14,8.0,*,1.25
10-14,6.0,*,0.93
10-14,11.0,*,1.68
10-14,16.0,*,2.41
10-14,11.0,*,1.64
10-14,148.0,,1.59
10-14,84.0,,2.64
10-14,63.0,,1.34
10-14,9.0,*,1.76
10-14,19.0,*,1.83
10-14,79.0,,3.18
10-14,82.0,,3.04
10-14,29.0,,4.43
10-14,88.0,,6.07
10-14,63.0,,2.77
10-14,5.0,*,1.01
10-14,26.0,,4.34
10-14,109.0,,2.57
10-14,26.0,,2.89
10-14,9.0,*,1.28
10-14,31.0,,1.25
10-14,43.0,,1.71
10-14,42.0,,1.65
10-14,39.0,,1.52
10-14,27.0,,1.05
10-14,29.0,,1.11
10-14,22.0,,0.84
10-14,31.0,,1.18
10-14,23.0,,0.87
10-14,33.0,,1.24
10-14,42.0,,1.56
10-14,46.0,,1.71
10-14,44.0,,1.63
10-14,39.0,,1.44
10-14,41.0,,1.52
10-14,31.0,,1.25
10-14,43.0,,1.71
10-14,42.0,,1.65
10-14,39.0,,1.52
10-14,27.0,,1.05
10-14,29.0,,1.11
10-14,22.0,,0.84
10-14,31.0,,1.18
10-14,23.0,,0.87
10-14,33.0,,1.24
10-14,42.0,,1.56
10-14,46.0,,1.71
10-14,44.0,,1.63
10-14,39.0,,1.44
10-14,41.0,,1.52
10-14,532.0,,1.35
10-14,27.0,,3.02
10-14,15.0,*,3.87
10-14,16.0,*,4.14
10-14,21.0,,5.48
10-14,24.0,,6.15
10-14,13.0,*,3.35
10-14,17.0,*,4.46
10-14,12.0,*,3.1
10-14,17.0,*,4.36
10-14,16.0,*,4.14
10-14,13.0,*,3.3
10-14,22.0,,5.46
10-14,8.0,*,1.96
10-14,22.0,,5.32
10-14,17.0,*,4.12
10-14,20.0,,4.81
10-14,15.0,*,3.87
10-14,16.0,*,4.14
10-14,21.0,,5.48
10-14,24.0,,6.15
10-14,13.0,*,3.35
10-14,17.0,*,4.46
10-14,12.0,*,3.1
10-14,17.0,*,4.36
10-14,16.0,*,4.14
10-14,13.0,*,3.3
10-14,22.0,,5.46
10-14,8.0,*,1.96
10-14,22.0,,5.32
10-14,17.0,*,4.12
10-14,20.0,,4.81
10-14,253.0,,4.27
10-14,45.0,,1.81
10-14,40.0,,1.62
10-14,63.0,,2.57
10-14,49.0,,2.04
10-14,46.0,,2.03
10-14,34.0,,1.62
10-14,30.0,,1.54
10-14,23.0,,1.26
10-14,9.0,*,0.52
10-14,16.0,*,0.95
10-14,18.0,*,1.08
10-14,22.0,,1.36
10-14,21.0,,1.33
10-14,28.0,,1.78
10-14,21.0,,1.39
10-14,45.0,,1.81
10-14,40.0,,1.62
10-14,63.0,,2.57
10-14,49.0,,2.04
10-14,46.0,,2.03
10-14,34.0,,1.62
10-14,30.0,,1.54
10-14,23.0,,1.26
10-14,9.0,*,0.52
10-14,16.0,*,0.95
10-14,18.0,*,1.08
10-14,22.0,,1.36
10-14,21.0,,1.33
10-14,28.0,,1.78
10-14,21.0,,1.39
10-14,465.0,,1.59
10-14,101.0,,1.34
10-14,113.0,,1.49
10-14,130.0,,1.71
10-14,125.0,,1.65
10-14,129.0,,1.74
10-14,116.0,,1.59
10-14,79.0,,1.11
10-14,88.0,,1.25
10-14,92.0,,1.34
10-14,94.0,,1.38
10-14,78.0,,1.17
10-14,102.0,,1.55
10-14,92.0,,1.42
10-14,73.0,,1.13
10-14,92.0,,1.44
10-14,101.0,,1.34
10-14,113.0,,1.49
